sec,nanosec,latitude,longitude,datetime
1749194763,749665327,43.5140542,16.2503247,2025-06-06T07:26:03.749665+00:00
1749194763,999665207,43.5140542,16.2503246,2025-06-06T07:26:03.999665+00:00
1749194764,249665086,43.5140542,16.2503246,2025-06-06T07:26:04.249665+00:00
1749194764,499664966,43.5140542,16.2503246,2025-06-06T07:26:04.499665+00:00
1749194764,749664846,43.5140543,16.2503247,2025-06-06T07:26:04.749665+00:00
1749194764,999664727,43.5140543,16.2503248,2025-06-06T07:26:04.999665+00:00
1749194765,249664605,43.5140543,16.2503248,2025-06-06T07:26:05.249665+00:00
1749194765,499664485,43.5140543,16.2503249,2025-06-06T07:26:05.499665+00:00
1749194765,749664365,43.5140543,16.2503250,2025-06-06T07:26:05.749664+00:00
1749194765,999664246,43.5140543,16.2503250,2025-06-06T07:26:05.999664+00:00
1749194766,249664124,43.5140544,16.2503250,2025-06-06T07:26:06.249664+00:00
1749194766,499664004,43.5140543,16.2503250,2025-06-06T07:26:06.499664+00:00
1749194766,749663884,43.5140544,16.2503249,2025-06-06T07:26:06.749664+00:00
1749194766,999663765,43.5140544,16.2503249,2025-06-06T07:26:06.999664+00:00
1749194767,249663644,43.5140543,16.2503249,2025-06-06T07:26:07.249664+00:00
1749194767,499663524,43.5140544,16.2503249,2025-06-06T07:26:07.499664+00:00
1749194767,749663404,43.5140544,16.2503249,2025-06-06T07:26:07.749663+00:00
1749194767,999663284,43.5140544,16.2503250,2025-06-06T07:26:07.999663+00:00
1749194768,249663163,43.5140545,16.2503250,2025-06-06T07:26:08.249663+00:00
1749194768,499663043,43.5140545,16.2503250,2025-06-06T07:26:08.499663+00:00
1749194768,749662923,43.5140545,16.2503249,2025-06-06T07:26:08.749663+00:00
1749194768,999662804,43.5140545,16.2503248,2025-06-06T07:26:08.999663+00:00
1749194769,249662683,43.5140546,16.2503248,2025-06-06T07:26:09.249663+00:00
1749194769,499662563,43.5140546,16.2503247,2025-06-06T07:26:09.499663+00:00
1749194769,749662443,43.5140546,16.2503247,2025-06-06T07:26:09.749662+00:00
1749194769,999662324,43.5140546,16.2503247,2025-06-06T07:26:09.999662+00:00
1749194770,249662203,43.5140546,16.2503247,2025-06-06T07:26:10.249662+00:00
1749194770,499662083,43.5140547,16.2503247,2025-06-06T07:26:10.499662+00:00
1749194770,749661963,43.5140548,16.2503247,2025-06-06T07:26:10.749662+00:00
1749194770,999661844,43.5140548,16.2503245,2025-06-06T07:26:10.999662+00:00
1749194771,249661723,43.5140548,16.2503245,2025-06-06T07:26:11.249662+00:00
1749194771,499661603,43.5140548,16.2503244,2025-06-06T07:26:11.499662+00:00
1749194771,749661484,43.5140549,16.2503244,2025-06-06T07:26:11.749661+00:00
1749194771,999661365,43.5140550,16.2503244,2025-06-06T07:26:11.999661+00:00
1749194772,249661244,43.5140550,16.2503245,2025-06-06T07:26:12.249661+00:00
1749194772,499661124,43.5140551,16.2503245,2025-06-06T07:26:12.499661+00:00
1749194772,749661004,43.5140551,16.2503245,2025-06-06T07:26:12.749661+00:00
1749194772,999660886,43.5140552,16.2503244,2025-06-06T07:26:12.999661+00:00
1749194773,249660765,43.5140552,16.2503244,2025-06-06T07:26:13.249661+00:00
1749194773,499660645,43.5140551,16.2503243,2025-06-06T07:26:13.499661+00:00
1749194773,749660525,43.5140552,16.2503242,2025-06-06T07:26:13.749660+00:00
1749194773,999660407,43.5140552,16.2503242,2025-06-06T07:26:13.999660+00:00
1749194774,249660286,43.5140553,16.2503241,2025-06-06T07:26:14.249660+00:00
1749194774,499660166,43.5140554,16.2503243,2025-06-06T07:26:14.499660+00:00
1749194774,749660046,43.5140554,16.2503243,2025-06-06T07:26:14.749660+00:00
1749194774,999659927,43.5140554,16.2503242,2025-06-06T07:26:14.999660+00:00
1749194775,249659807,43.5140554,16.2503241,2025-06-06T07:26:15.249660+00:00
1749194775,499659687,43.5140554,16.2503240,2025-06-06T07:26:15.499660+00:00
1749194775,749659567,43.5140555,16.2503240,2025-06-06T07:26:15.749660+00:00
1749194775,999659449,43.5140555,16.2503240,2025-06-06T07:26:15.999660+00:00
1749194776,249659328,43.5140556,16.2503240,2025-06-06T07:26:16.249659+00:00
1749194776,499659208,43.5140557,16.2503240,2025-06-06T07:26:16.499659+00:00
1749194776,749659088,43.5140557,16.2503241,2025-06-06T07:26:16.749659+00:00
1749194776,999658970,43.5140557,16.2503240,2025-06-06T07:26:16.999659+00:00
1749194777,249658849,43.5140558,16.2503240,2025-06-06T07:26:17.249659+00:00
